name,stars,age_in_years,releases,primary_language,url,processed
Snailclimb/JavaGuide,145797,6.34,0,Java,https://github.com/Snailclimb/JavaGuide,False
GrowingGit/GitHub-Chinese-Top-Charts,98289,5.01,0,Java,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,False
krahets/hello-algo,94613,1.84,8,Java,https://github.com/krahets/hello-algo,False
iluwatar/java-design-patterns,89231,10.09,0,Java,https://github.com/iluwatar/java-design-patterns,False
macrozheng/mall,77193,6.43,3,Java,https://github.com/macrozheng/mall,False
doocs/advanced-java,75614,5.93,1,Java,https://github.com/doocs/advanced-java,False
MisterBooo/LeetCodeAnimation,75286,5.76,0,Java,https://github.com/MisterBooo/LeetCodeAnimation,False
spring-projects/spring-boot,74405,11.89,283,Java,https://github.com/spring-projects/spring-boot,False
elastic/elasticsearch,69420,14.59,154,Java,https://github.com/elastic/elasticsearch,False
kdn251/interviews,63289,7.57,0,Java,https://github.com/kdn251/interviews,False
TheAlgorithms/Java,58519,8.15,0,Java,https://github.com/TheAlgorithms/Java,False
spring-projects/spring-framework,56142,13.76,310,Java,https://github.com/spring-projects/spring-framework,False
NationalSecurityAgency/ghidra,50415,5.53,38,Java,https://github.com/NationalSecurityAgency/ghidra,False
google/guava,49984,10.28,46,Java,https://github.com/google/guava,False
ReactiveX/RxJava,47832,11.67,234,Java,https://github.com/ReactiveX/RxJava,False
skylot/jadx,40863,11.48,29,Java,https://github.com/skylot/jadx,False
apache/dubbo,40335,12.23,104,Java,https://github.com/apache/dubbo,False
Stirling-Tools/Stirling-PDF,39991,1.61,84,Java,https://github.com/Stirling-Tools/Stirling-PDF,False
jeecgboot/JeecgBoot,39971,5.79,46,Java,https://github.com/jeecgboot/JeecgBoot,False
dbeaver/dbeaver,39175,8.89,207,Java,https://github.com/dbeaver/dbeaver,False
PhilJay/MPAndroidChart,37524,10.38,44,Java,https://github.com/PhilJay/MPAndroidChart,False
eugenp/tutorials,36473,11.37,0,Java,https://github.com/eugenp/tutorials,False
alibaba/arthas,35347,6.03,53,Java,https://github.com/alibaba/arthas,False
geekxh/hello-algorithm,35147,4.28,0,Java,https://github.com/geekxh/hello-algorithm,False
airbnb/lottie-android,34944,7.93,50,Java,https://github.com/airbnb/lottie-android,False
termux/termux-app,34582,8.88,91,Java,https://github.com/termux/termux-app,False
bumptech/glide,34575,11.17,47,Java,https://github.com/bumptech/glide,False
netty/netty,33251,13.84,0,Java,https://github.com/netty/netty,False
Blankj/AndroidUtilCode,33227,8.11,117,Java,https://github.com/Blankj/AndroidUtilCode,False
halo-dev/halo,33129,6.47,189,Java,https://github.com/halo-dev/halo,False
xkcoding/spring-boot-demo,32834,6.83,0,Java,https://github.com/xkcoding/spring-boot-demo,False
zxing/zxing,32638,12.92,31,Java,https://github.com/zxing/zxing,False
alibaba/easyexcel,31945,6.59,13,Java,https://github.com/alibaba/easyexcel,False
TeamNewPipe/NewPipe,31006,9.02,131,Java,https://github.com/TeamNewPipe/NewPipe,False
doocs/leetcode,30738,5.98,20,Java,https://github.com/doocs/leetcode,False
ityouknow/spring-boot-examples,30164,7.84,0,Java,https://github.com/ityouknow/spring-boot-examples,False
SeleniumHQ/selenium,30163,11.65,97,Java,https://github.com/SeleniumHQ/selenium,False
alibaba/nacos,29950,6.24,70,Java,https://github.com/alibaba/nacos,False
apolloconfig/apollo,29055,8.52,40,Java,https://github.com/apolloconfig/apollo,False
dromara/hutool,28907,10.41,145,Java,https://github.com/dromara/hutool,False
alibaba/canal,28325,11.66,30,Java,https://github.com/alibaba/canal,False
apache/kafka,28313,13.07,0,Java,https://github.com/apache/kafka,False
wuyouzhuguli/SpringAll,28219,6.36,0,Java,https://github.com/wuyouzhuguli/SpringAll,False
alibaba/druid,27878,12.85,51,Java,https://github.com/alibaba/druid,False
alibaba/spring-cloud-alibaba,27770,6.77,42,Java,https://github.com/alibaba/spring-cloud-alibaba,False
xuxueli/xxl-job,27346,8.78,33,Java,https://github.com/xuxueli/xxl-job,False
lenve/vhr,27280,6.68,0,Java,https://github.com/lenve/vhr,False
crossoverJie/JCSprout,27066,6.73,0,Java,https://github.com/crossoverJie/JCSprout,False
YunaiV/ruoyi-vue-pro,26577,3.62,28,Java,https://github.com/YunaiV/ruoyi-vue-pro,False
qiurunze123/miaosha,26164,5.99,0,Java,https://github.com/qiurunze123/miaosha,False
